Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links
El valor del acceso al conocimiento digitalizado en la toma de decisiones,,Anguil,Argentina,In person,19/08/2015,2015,Panel,35,Organizer,https://inta.gob.ar/noticias/seminario-interno-el-valor-del-acceso-al-conocimiento-digitalizado-en-la-toma-de-decisiones
GeoINTA: la infraestructura de datos espaciales del INTA,Santa Rosa,,Argentina,In person,11 y 12 de Diciembre 2015,2015,Regular Talk,67,Speaker,
Hacia una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,SIE 2015 - 9º Simposio de Informática en el Estado,44 JAIIO,Latin America,In person,04/09/2015,2015,Regular Talk,60,Speaker,
INTA. AgroTICs,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2015,Exhibition,200,Speaker,
Síntesis de una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,AGRANDA 2015,44 JAIIO,Latin America,In person,02/09/2015,2015,Lightning talk,30,Speaker,
,CONGREMET,Mar del Plata,Latin America,In person,26 al 29 de Mayo de 2015,2015,Lightning talk,50,Speaker,
8vo Congreso Argentino de AgroInformática. 43 JAIIO,SADIO-INTA,Buenos Aires,Latin America,In person,5 y 6 de Septiembre de 2016,2016,Conference,200,Chair,
Introducción a la gestión de contenidos del sitio web de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,abril 2016,2016,Course,15,Teacher,
Introducción al Uso y Administración de espacios de colaboración de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,Junio a Agosto de 2016.,2016,Course,35,Teacher,
Turismo y Redes Sociales,Grupos de Cambio Rural sobre Turismo Rural y autoridades provinciales de la Dirección de Turismo de La Pampa.,Santa Rosa- La Pampa,Argentina,In person,2016,2016,Course,13,Teacher,
El uso de geotecnologías para el manejo de información agropecuaria,,Santa Rosa- La Pampa.,Argentina,In person,17 y 18/11/2016,2016,Keynote,100,Speaker,
GeoINTA: aprovechando los mapas del INTA en Internet.,,Santa Rosa,Argentina,In person,19/04/2016,2016,Podcast,1000,Speaker,https://inta.gob.ar/audios/yanina-bellini-geointa-aprovechando-los-mapas-del-inta-en-internet
GeoINTA: compartiendo datos por medio de la Infraestructura de Datos Espaciales del INTA,10° Simposio de Informática en el Estado - SIE,Buenos Aires- Argentina.,Latin America,In person,7 al 9 de Septiembre de 2016.,2016,Regular Talk,70,Speaker,
INTA. Radar Meteorologico,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2016,Exhibition,200,Speaker,
La industria espacial al servicio del agro,,Santa Rosa,Argentina,In person,10/11/2016,2016,Podcast,1000,Speaker,https://inta.gob.ar/audios/la-industria-espacial-al-servicio-del-agro
La tarea del INTA en La Pampa,Facultad de Ciencias Humanas. Universidad Nacional de La Pampa,Santa Rosa,Argentina,In person,9 de noviembre de 2016.,2016,Invited Talk,18,Speaker,
Propuesta para una Infraestructura de Datos Agropecuarios del Instituto Nacional de Tecnología Agropecuaria (INTA),AGRANDA Segundo simposio argentino de grandes datos. ,Buenos Aires- Argentina.,Latin America,In person,6 y 7 de Septiembre de 2016.,2016,Lightning talk,60,Speaker,
Radar Meteorológico,Radio con Voz/s,Santa Rosa,Argentina,In person,17/05/2016,2016,Podcast,500,Speaker,https://inta.gob.ar/audios/radar-meteorologico
Sistema de Información y base de datos para el inventario de recursos naturales de La Pampa,10º Simposio Argentino de Informática en el Estado.,Buenos Aires- Argentina.,Latin America,In person,7 al 9 de Septiembre de 2016.,2016,Regular Talk,70,Speaker,
Radar Meteorologico de INTA,De Frente al Campo,Santa Rosa,Argentina,In person,04/06/2016,2016,Podcast,2000,Speaker,https://youtu.be/WA9jZdrNqOs?si=ooZtlzZo7tmeDDE1
9vo Congreso Argentino de AgroInformática. 44 JAIIO,SADIO-INTA.-UNC. Córdoba,Córdoba,Latin America,In person,7 y 8 de Septiembre de 2017,2017,Conference,200,Chair,
Agro geotecnologías: sobre estrellas y semillas,INTA-LANIC,San Luis- Argentina,Latin America,In person,05/12/2017,2017,Keynote,200,Speaker,https://yabellini.netlify.app/talk/2017_nic_latam/
Agroinformática- el uso de la ciencia de los datos aplicada al sector agro para adquirir un mayor conocimiento,,Santa Rosa,Argentina,In person,29/06/2017,2017,Podcast,100,Speaker,https://inta.gob.ar/audios/entrevista-a-lic-en-sistemas-de-informacion-yanina-bellini-investigadora-de-estacion-experimental-de-inta-anguil-agroinformatica-el-uso-de-la-ciencia-de-los-datos-aplicada-al-sector-agro-para
Caracterización de sistemas productivos pampeanos,EEA Anguil. Cambio Rural.,Anguil-Santa Rosa-Toay,Argentina,In person,02/06/2017,2017,Regular Talk,9,Speaker,https://inta.gob.ar/noticias/caracterizacion-de-sistemas-productivos-pampeanos
AgroMinería de Datos,Instituto Tecnológico de Educación Superior,Santa Rosa,Argentina,In person,22 de junio de 2017,2017,Invited Talk,26,Speaker,https://yabellini.netlify.app/talk/2017_ites_agromineria/
AgroTICs: llevando la informática al campo,Liceo Informático II,Santa Rosa,Argentina,In person,15 de mayo de 2017.,2017,Invited Talk,17,Speaker,https://yabellini.netlify.app/talk/2017_liceo/
Herramienta de limpieza de datos: OpenRefine,Liceo Informático II,Santa Rosa,Argentina,In person,28 de julio de 2017.,2017,Invited Talk,6,Speaker,
R-Ladies Santa Rosa,Liceo Informático II,Santa Rosa,Argentina,In person,22 de junio de 2017.,2017,Invited Talk,26,Speaker,
Registro de propiedad intelectual de software,Reunión PROFEDER Contratistas Rurales.,EEA Anguil.,Argentina,In person,30 de noviembre de 2017,2017,Regular Talk,7,Speaker,https://yabellini.netlify.app/talk/2017_profeder/
Serie de Charlas Técnicas: AgroTICs,Instituto de Formación Técnica y Docente de Trenque Lauquen. Tecnicatura en Producción Agricola-Ganadera,Anguil- La Pampa,Argentina,In person,03 de noviembre de 2017,2017,Regular Talk,15,Speaker,
Serie de Charlas Técnicas: GeoINTA y GeoTecnologías en la nube,,Santa Rosa,Argentina,In person,20 de octubre de 2017.,2017,Invited Talk,21,Speaker,
Clasificación de Sistemas Productivos Preponderantes utilizando técnicas de agrupamiento para la estimación de emisiones de Gases de Efecto Invernadero,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,04/09/2017,2017,Regular Talk,60,Speaker,
Introducción al Uso y Administración de espacios de colaboración de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,Octubre a Noviembre de 2017,2017,Course,23,Teacher,
Base de Datos Relacionales para sistemas agropecuarios,EEA INTA Anguil,Anguil- La Pampa,Argentina,In person,16/06/2017 al 30/11/2017,2017,Course,9,Teacher,
Curso de capacitación interno sobre uso de web y espacios de colaboración.,EEA INTA Anguil,General Pico- La Pampa,Argentina,In person,27/11/2017,2017,Course,12,Teacher,
