Title,Year,Type_Long,Type,Link,En_mi_web,title_clean
"El trigo en la vidriera. Lorda, H.; Bellini Saibene Y. AgroRADAR. Boletín Informativo Nº 18. ISSN: 1666 - 6852. pp. 38-44. Diciembre 2002.",2002,Popular science articles,Popular science articles,https://inta.gob.ar/documentos/el-trigo-en-la-vidriera,,"el trigo en la vidriera. lorda, h.; bellini saibene y. agroradar. boletín informativo nº 18. issn: 1666 - 6852. pp. 38-44. diciembre 2002."
"Girasol, Los números productivos. Lorda, H.; Bellini Saibene Y. AgroRADAR. Boletín Informativo Nº 16. ISSN: 1666 - 6852. Pp. 27-29. Julio 2002.",2002,Popular science articles,Popular science articles,,,"girasol, los números productivos. lorda, h.; bellini saibene y. agroradar. boletín informativo nº 16. issn: 1666 - 6852. pp. 27-29. julio 2002."
"GIRASOL. Lorda, Héctor y Yanina Bellini Saibene. AgroRADAR Boletín Informativo Nº 16. ISSN: 1666 - 6852. Pp.27-28. Abril 2002.",2002,Popular science articles,Popular science articles,,,"girasol. lorda, héctor y yanina bellini saibene. agroradar boletín informativo nº 16. issn: 1666 - 6852. pp.27-28. abril 2002."
"La siembra de trigo. Estimando la superficie. Lorda, H.; Bellini Saibene Y.; Lucchetti P.A. AgroRADAR. Boletín Informativo Nº 17. ISSN: 1666 - 6852. Pp. 12-13. Agosto 2002.",2002,Popular science articles,Popular science articles,https://inta.gob.ar/documentos/la-siembra-de-trigo.-estimando-la-superficie,,"la siembra de trigo. estimando la superficie. lorda, h.; bellini saibene y.; lucchetti p.a. agroradar. boletín informativo nº 17. issn: 1666 - 6852. pp. 12-13. agosto 2002."
"Tecnología Aplicada en Girasol en la región AgroRADAR. Lorda, H.; Bellini Saibene Y.;Roberto, Z. Agromercado. Cuadernillo de Girasol. Pp. 21-26. Octubre 2002.",2002,Popular science articles,Popular science articles,,,"tecnología aplicada en girasol en la región agroradar. lorda, h.; bellini saibene y.;roberto, z. agromercado. cuadernillo de girasol. pp. 21-26. octubre 2002."
"“Caracterización Productiva y Tecnológica de los Cultivos de Verano”. Lorda H, Bellini Saibene Y, Lucchetti P, Roberto Z, Coma C, Farell M y Corro Molas A. Capítulo 1 del Boletín de Divulgación Técnica Nº 77: “Cultivos de Cosecha Gruesa. Actualización 2003”. ISSN: 0325-2167. Agosto 2003.. pp 1 – 39.",2003,Journals,Journals,,,"“caracterización productiva y tecnológica de los cultivos de verano”. lorda h, bellini saibene y, lucchetti p, roberto z, coma c, farell m y corro molas a. capítulo 1 del boletín de divulgación técnica nº 77: “cultivos de cosecha gruesa. actualización 2003”. issn: 0325-2167. agosto 2003.. pp 1 – 39."
"“Caracterización Tecnológica del Cultivo de Trigo”. Lorda H, Bellini Saibene Y, Lucchetti P, Roberto Z y Coma C. Capítulo de la Publicación de Divulgación Técnica Nº 76: “Trigo. Actualización 2003.” ISSN: 0325-2167. Mayo 2003. pp 134 – 175.",2003,Journals,Journals,,,"“caracterización tecnológica del cultivo de trigo”. lorda h, bellini saibene y, lucchetti p, roberto z y coma c. capítulo de la publicación de divulgación técnica nº 76: “trigo. actualización 2003.” issn: 0325-2167. mayo 2003. pp 134 – 175."
"Caracterización del Almacenaje de Granos en el Área AgroRADAR. Lorda, H.O.; Lucchetti, P; Roberto Z; Bellini Saibene, Y y Sipowicz, A. 1º Congreso Sobre Producción de Origen Agropecuario del SE Pampeano.28 de Enero al 4 de Febrero de 2003. Necochea, Bs. As.",2003,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"caracterización del almacenaje de granos en el área agroradar. lorda, h.o.; lucchetti, p; roberto z; bellini saibene, y y sipowicz, a. 1º congreso sobre producción de origen agropecuario del se pampeano.28 de enero al 4 de febrero de 2003. necochea, bs. as."
"Caracterización tecnológica del cultivo de trigo en la región AgroRadar. Lorda, Héctor; Bellini Saibene, Yanina; Sipowicz, Andrés; Lucchetti, Pablo; Coma, Carlos. AgroRADAR Boletín Informativo Nº 19. ISSN: 1666 - 6852. pp 18-20. Diciembre 2003.",2003,Popular science articles,Popular science articles,,,"caracterización tecnológica del cultivo de trigo en la región agroradar. lorda, héctor; bellini saibene, yanina; sipowicz, andrés; lucchetti, pablo; coma, carlos. agroradar boletín informativo nº 19. issn: 1666 - 6852. pp 18-20. diciembre 2003."
"En La Pampa, la agricultura mantiene un crecimiento sin límites. Fascículo Pampa Central. Año 1, Nº 1 El Diario de La Pampa. Pp 9 y 15. 4 de Julio 2003",2003,Popular science articles,Popular science articles,,,"en la pampa, la agricultura mantiene un crecimiento sin límites. fascículo pampa central. año 1, nº 1 el diario de la pampa. pp 9 y 15. 4 de julio 2003"
"Sistema de Información Geográfica. Roberto, Z.; Bellini Saibene, Y.; Lucchetti, P.; Coma, C. RADAR Boletín Informativo Nº 19. ISSN: 1666 - 6852. pp 18-20. Diciembre 2003.",2003,Popular science articles,Popular science articles,,,"sistema de información geográfica. roberto, z.; bellini saibene, y.; lucchetti, p.; coma, c. radar boletín informativo nº 19. issn: 1666 - 6852. pp 18-20. diciembre 2003."
"“Caracterización Productiva y Tecnológica del Cultivo de Trigo”. Lorda H.O., Lucchetti P., Bellini Saibene Y, Farell M, Roberto Z, Sipowicz A. y Coma C. Boletín de Divulgación Técnica Nº 83. ISSN: 0325-2167. Julio 2004. pp 1- 24.",2004,Journals,Journals,,,"“caracterización productiva y tecnológica del cultivo de trigo”. lorda h.o., lucchetti p., bellini saibene y, farell m, roberto z, sipowicz a. y coma c. boletín de divulgación técnica nº 83. issn: 0325-2167. julio 2004. pp 1- 24."
"Relevamiento y análisis de la superficie de las explotaciones agropecuarias en el este de La Pampa. Bellini Saibene Y, Lorda H, Farrell, M. Boletín de Divulgación Técnica Nº 84. ISSN: 0325-2132 Junio 2004 - Ediciones INTA",2004,Journals,Journals,https://inta.gob.ar/documentos/relevamiento-y-analisis-de-la-superficie-de-las-explotaciones-agropecuarias-en-el-este-de-la-pampa,,"relevamiento y análisis de la superficie de las explotaciones agropecuarias en el este de la pampa. bellini saibene y, lorda h, farrell, m. boletín de divulgación técnica nº 84. issn: 0325-2132 junio 2004 - ediciones inta"
"""Escenarios tecnológicos en el cultivo de trigo según toma de decisiones"". Lorda H., Bellini Saibene Y., Sipowicz A., Lucchetti P., Coma C. Ciclo de Conferencias INTA Expone 2004. ISBN: 10:987-521-202-4 13: 978-987-521-202-2. Conferencias presentadas en el Auditorio Ing. Agr. Guillermo Covas. Volumen III. 2005.",2005,Book Chapters,Book Chapters,,,"""escenarios tecnológicos en el cultivo de trigo según toma de decisiones"". lorda h., bellini saibene y., sipowicz a., lucchetti p., coma c. ciclo de conferencias inta expone 2004. isbn: 10:987-521-202-4 13: 978-987-521-202-2. conferencias presentadas en el auditorio ing. agr. guillermo covas. volumen iii. 2005."
"""Relevamiento Agro económico en la región pampeana"". Sipowicz A., Roberto Z., Bellini Saibene Y. Ciclo de Conferencias INTA Expone 2004. ISBN: 10:987-521-202-4 13: 978-987-521-202-2. Conferencias presentadas en el Auditorio Ing. Agr. Guillermo Covas. Volumen III. 2005.",2005,Book Chapters,Book Chapters,,,"""relevamiento agro económico en la región pampeana"". sipowicz a., roberto z., bellini saibene y. ciclo de conferencias inta expone 2004. isbn: 10:987-521-202-4 13: 978-987-521-202-2. conferencias presentadas en el auditorio ing. agr. guillermo covas. volumen iii. 2005."
Boletín RIAN La Pampa - San Luis - Abril 2005 - Nro 4,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2005-nro-4,,boletín rian la pampa - san luis - abril 2005 - nro 4
Boletín RIAN La Pampa - San Luis - Agosto 2005 - Nro 8,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2005-nro-8,,boletín rian la pampa - san luis - agosto 2005 - nro 8
Boletín RIAN La Pampa - San Luis - Agosto 2005 - Nro 9,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2005-9,,boletín rian la pampa - san luis - agosto 2005 - nro 9
Boletín RIAN La Pampa - San Luis - Enero 2005 - Nro 1,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2005-nro-1,,boletín rian la pampa - san luis - enero 2005 - nro 1
Boletín RIAN La Pampa - San Luis - Febrero 2005 - Nro 2,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2005-nro-2,,boletín rian la pampa - san luis - febrero 2005 - nro 2
Boletín RIAN La Pampa - San Luis - Julio 2005 - Nro 7,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2005-nro-7,,boletín rian la pampa - san luis - julio 2005 - nro 7
Boletín RIAN La Pampa - San Luis - Junio 2005 - Nro 6,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-2005-nro-6,,boletín rian la pampa - san luis - junio 2005 - nro 6
Boletín RIAN La Pampa - San Luis - Marzo 2005 - Nro 3,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2005-nro-3,,boletín rian la pampa - san luis - marzo 2005 - nro 3
Boletín RIAN La Pampa - San Luis - Mayo 2005 - Nro 5,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-2005-nro-5,,boletín rian la pampa - san luis - mayo 2005 - nro 5
Boletín RIAN La Pampa - San Luis - Noviembre 2005 -Nro 10,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2005-nro-10,,boletín rian la pampa - san luis - noviembre 2005 -nro 10
Boletín RIAN La Pampa - San Luis - Noviembre 2005 -Nro 11,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2005-nro-11,,boletín rian la pampa - san luis - noviembre 2005 -nro 11
Boletín RIAN La Pampa - San Luis - Octubre 2005 - Nro 12,2005,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2005-nro-12,,boletín rian la pampa - san luis - octubre 2005 - nro 12
"Caracterización del Almacenaje de Granos en la Región Agroradar. Lorda, Héctor; Lucchetti, Pablo; Bellini Saibene, Yanina; Fernandez, Darío. Boletín de Divulgación Técnica Nº 89. ISSN: 0325-2132 Mayo 2005 - Ediciones INTA",2005,Journals,Journals,https://inta.gob.ar/documentos/caracterizacion-del-almacenaje-de-granos-en-la-region-agroradar,,"caracterización del almacenaje de granos en la región agroradar. lorda, héctor; lucchetti, pablo; bellini saibene, yanina; fernandez, darío. boletín de divulgación técnica nº 89. issn: 0325-2132 mayo 2005 - ediciones inta"
