Title,Year,Type_Long,Type,Link,En_mi_web
"Enseñar Tecnología en Comunidad. Wilson, G. (2021). Enseñar tecnología en comunidad. Cómo crear y dar lecciones que funcionen y construir una comunidad docente a su alrededor [Teaching Tech Together. How to create and deliver lessons that work and build a teaching community around them] (Traducción al español: Y. Bellini Saibene, N. S. Morandeira, P. Corrales, L. Acion, M. Dermit, Y. Sosa, J. Benitez Saldivar, Z. Bazurto, S. Canelón, L. Canaviri Maydana, M. Alonso, A. Bellini, P. Minotti, R. Chirinos, P. Rojas, N. Stroud, R. N. Villafañe, P. Loto, A. L. Diedrich, Y. Terrazas-Carafa & L. Rodríguez Planes). https://teachtogether.tech/es/ (Trabajo original publicado en 2019).",2021,Translations,Translations,https://educarencomunidad.tech/,
Feliz día del padre,2021,Blog post,Blog post,,Si
"Hacia una red de práctica sobre comunidades de práctica. #noviembreHD. Cuarto congreso de la Asociación Argentina de Humanidades Digitales (AAHD). Humanidades Digitales en tiempos convulsos. AAHD - 2021 Vol. 1 - N° 1. Asociación Argentina de Humanidades Digitales, Buenos Aires. Yanina BELLINI SAIBENE, Rita MALANO, Silvia ENRÍQUEZ y Ricardo PLUSS (2021)",2021,Journals,Journals,,
Haciendo videos para nuestras clases,2021,Blog post,Blog post,,Si
Happy Father's Day,2021,Blog post,Blog post,,Si
INTA Anguil participa de Congreso Internacional sobre uso de R,2021,Noticia,Blog post,https://inta.gob.ar/noticias/inta-anguil-participa-de-congreso-internacional-sobre-uso-de-r,Si
La comunidad latinoamericana en useR! 2021,2021,Blog post,Blog post,,Si
Learnres. Un paquete de plantillas para tutoriales en español,2021,Blog post,Blog post,,Si
List of events in which I participated this year,2021,Blog post,Blog post,,Si
Listado de directorios de mujeres oradoras,2021,Blog post,Blog post,,Si
Listado de eventos en los que participé este año,2021,Blog post,Blog post,,Si
Mi aplicación para las elecciones del Consejo Ejecutivo de The Capentries 2021,2021,Blog post,Blog post,,Si
Missing narratives in discussions around diversity and inclusion in research software engineering - SeptembRSE,2021,Blog post,Blog post,,Si
Panel Narrativas faltantes en las discusiones sobre diversidad e inclusión en SeptembRSE,2021,Blog post,Blog post,,Si
"R-Ladies. Building, Growing, and Sustaining a Community  - WSDS 2021",2021,Blog post,Blog post,,Si
"R-Ladies. Construir, hacer crecer y mantener una comunidad - WSDS 2021",2021,Blog post,Blog post,,Si
Recursos para armar charlas,2021,Blog post,Blog post,,Si
Recursos para explorar y aprender learnr,2021,Blog post,Blog post,,Si
Resources to build talks,2021,Blog post,Blog post,,Si
Teaching to teach between communities in Spanish,2021,Blog post,Blog post,,Si
The Latin America Community at useR! 2021,2021,Blog post,Blog post,,Si
Tipos de Documentación de acuerdo al nivel de conocimiento,2021,Blog post,Blog post,,Si
Tracking Impact and Measuring Success in Data Education Events,2021,Blog post,Blog post,,Si
"Tracking Impact and Measuring Success in Data Education Events. E. Lescak,B. Duckles,Y. Yehudi,R. Shaikh,L. Alanis,C. Martinez,Y.Bellini,E. Plomp. CSVConf 2021.",2021,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
Un conjunto de paquetes para generar tutoriales interactivos para enseñar R. Yanina Bellini Saibene. Actas de LatinR 2021. https://github.com/LatinR/presentaciones-LatinR2021,2021,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
"useR! Knowledgebase. 2021. Sánchez-Tapia A, Tamir N, Moy Das S, Bellini Saibene Y, Joo R, Morandeira N, et al. Available from: https://rconf.gitlab.io/userknowledgebase/",2021,Book,Book,,
Women Speaker Directory Listing,2021,Blog post,Blog post,,Si
¿Cómo fue el 2021?,2022,Blog post,Blog post,,Si
10 reglas para organizar un club de lectura (on-line) exitoso,2022,Blog post,Blog post,,Si
10 reglas para organizar un Club de Lectura (on-line) exitoso (Alejandra Bellini and Yanina Noemi Bellini Saibene). LatinR 2022.,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_2983.pdf,
10 reglas para organizar un Club de Lectura (on-line) exitoso.,2022,Blog post,Blog post,,Si
10 reglas para organizar un Club de Lectura (on-line) exitoso. - Parte II,2022,Blog post,Blog post,,Si
300 (three hundred),2022,Blog post,Blog post,,Si
300 (trescientos),2022,Blog post,Blog post,,Si
A map of my readers,2022,Blog post,Blog post,,Si
Análisis de escenarios. ¿Qué podemos hacer cuando las cosas no van tan bien en el aula?,2022,Blog post,Blog post,,Si
"Aprendizaje on-line sincrónico, asincrónico, bicrónico",2022,Blog post,Blog post,,Si
