"Title","Year","Type_Long","Type","Link","En_mi_web"
"Conociendo a las estrellas del universo R: comunidad R, intercambiar y aprender",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/11/23/r-universe-stars-1-es/",""
"Meeting the stars of the R-universe: R Community, Exchange and Learn ",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/11/23/r-universe-stars-1-en/",""
" Become a Mentor for rOpenSci Champions! ",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/10/20/mentors-champions-program/",""
"¡Anunciamos el programa de Campeones y Campeonas de rOpenSci! ",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/09/22/launch-champions-program-es/",""
"Announcing the rOpenSci Champions Program!",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/09/22/launch-champions-program/",""
"rOpenSci Code of Conduct Update ",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/07/12/coc-update/",""
"Traducción al español de La Guía del Viajero al Aprendizaje Automático Responsable",2022,"Open Source Project","Software","https://yabellini.netlify.app/project/rml_es/",""
"MetaDocencia en una caja Paquete 1. Como enseñamos nuestros cursos",2022,"Open Source Project","Software","https://yabellini.netlify.app/project/metadocenciaenunacaja/",""
"learnR4free - Aprendiendo R gratis",2022,"Open Source Project","Software","https://yabellini.netlify.app/project/learnr4free/",""
"Cómo participar en rOpenSci",2021,"Blog Post","Blog","https://ropensci.org/blog/2022/09/13/contributing-ropensci-es/",""
"Red de radares de INTA",2020,"Open Source Project","Software","https://github.com/INTA-Radar",""
"AgroMet",2021,"Open Source Project","Software","https://github.com/AgRoMeteorologiaINTA",""
"Suelos del INTA",2021,"Open Source Project","Software","https://github.com/INTA-Suelos",""
"Enseñar Tecnología en Comunidad",2021,"Open Source Project","Software","https://teachtogether.tech/",""
"Twenty-four and a half years",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022-12-21-inta/",""
"Another lap around the Sun",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022-12-31-year-in-review/",""
"Otra vuelta al sol",2022,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022-12-31-year-in-review_es/",""
"Multilingual Data Science: Ten Tips to Translate Science and Tech Content",2023,"Article","Article","http://datasciencebydesign.org/blog/multilingual-data-science",""
"Call for Tutorials - Review. Series Organizing Tutorials",2023,"Blog Post","Blog","https://yabellini.netlify.app/blog/2022_tutorials_series/05-tutorials/",""
"Canales de comunicación de rOpenSci: Twitter",2022,"Blog Post","Blog","https://ropensci.org/es/blog/2022/11/16/mastodon-es/",""
"rOpenSci’s Communication Channels: Twitter",2022,"Blog Post","Blog","https://ropensci.org/blog/2022/11/16/mastodon-en/",""
"Multilingual Publishing",2022,"Open Source Project","Software","https://ropensci.org/multilingual-publishing/",""
"Aprender, ayudar y compartir. El método de ThinkR para crear una comunidad cada vez más grande y amigable de R",2023,"Blog Post","Blog","https://ropensci.org/es/blog/2023/02/28/r-universe-stars-2-es/",""
