Title,Year,Type_Long,Type,Link
Boletín RIAN La Pampa - San Luis - Julio 2009- Nro 66,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2009-66
Boletín RIAN La Pampa - San Luis - Julio-Agosto 2009- Nro 68,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-julio-agosto-2009-68
Boletín RIAN La Pampa - San Luis - Junio-Julio 2009- Nro 65,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-julio-2009-65
Boletín RIAN La Pampa - San Luis - Marzo 2009- Nro 62,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2009-nro-62
Boletín RIAN La Pampa - San Luis - Marzo 2009- Nro 63,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2009-nro-63
Boletín RIAN La Pampa - San Luis - Noviembre 2009- Nro 72,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2009-72
Boletín RIAN La Pampa - San Luis - Octubre 2009- Nro 71,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2009-71
Boletín RIAN La Pampa - San Luis - Septiembre 2009- Nro 70,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2009-70
"Profesionales venezolanos en Anguil. En Nuevo ABC Rural. Septiembre 2009. Nº13. Año VIII, Nº 97. Pág. 58. Belmonte, ML, Bellini, Y",2009,Popular science articles,Popular science articles,
"Se mejoran los controles de las plagas. Ing. Agr. Armando Suarez, Ing. Agr. Andrea Figuerelo, Lic. Yanina Bellini Saibene. Horizonte Agropecuario Nº 81. Marzo 2009. ISSN: 0327-3180.",2009,Popular science articles,Popular science articles,
"Segunda Capacitación Internacional de la RIAN. Lic. Yanina Bellini Saibene, Ings. Agrs. Laura Belmonte, Héctor Lorda. Horizonte Agropecuario Nº 83. Septiembre 2009. ISSN: 0327-3180.",2009,Popular science articles,Popular science articles,
"“Caracterización tecnológica y productiva del cultivo de girasol para la provincia de La Pampa”. Belmonte, M. L.; Fernández, M. D.; Bellini Saibene, Y.; Lorda, H. O.; Schaab, L. R.; y Fernández, J. C. Junio 2008. Capítulo 2 de la Publicación Técnica 72. ISSN: 0325-2132. El cultivo de girasol en la región semiárida pampeana. Editores: Quiroga, Alberto; Pérez Fernández, J.",2008,Journals,Journals,
"AgroSys N° 11. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Febrero 2008",2008,Newsletter,Popular science articles,
"AgroSys N° 12. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Marzo 2008",2008,Newsletter,Popular science articles,
"AgroSys N° 13. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Abril 2008.",2008,Newsletter,Popular science articles,
"AgroSys N° 14. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Mayo 2008",2008,Newsletter,Popular science articles,
"AgroSys N° 15. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Abril 2017.",2008,Newsletter,Popular science articles,
"AgroSys N° 16. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Junio 2008",2008,Newsletter,Popular science articles,
"AgroSys N° 17. Boletín Informativo Grupo de Sistemas-Información y Comunicación de la EEA Anguil. Bellini Saibene, Y. Lucchetti, P.A, Ferreyra C.A. Caldera, JC, Ramos, L., Fernandez, MD, Schaab, L, Etchart, F. Garro, RJA. Septiembre 2008",2008,Newsletter,Popular science articles,
"Aplicación de la Metodología Q para la Evaluación de Proyectos de Intervención. Experiencias Centro Regional La Pampa-San Luis. R. Bonelli, Bertella, E., Benitez, R., Albarracin, M., Aurand, S., Frasier I ,Fontana, L.,. Iacovino R., Kent F., Bellini Y., Galli M., Benitez N., Colazo R., Reichert H., Bonatti R., Frigerio K., Churín N., Pereira M., Montiel E., Echeverría, J., Torrado, J. XIV Jornadas Nacionales de Extensión Rural y VI del MERCOSUR. San Miguel de Tucumán, 8 al 10 de octubre de 2008.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,
"Boletín Enlaces N° 13. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Febrero 2008",2008,Newsletter,Popular science articles,
"Boletín Enlaces N° 14. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Marzo 208",2008,Newsletter,Popular science articles,
"Boletín Enlaces N° 15. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Abril 2008",2008,Newsletter,Popular science articles,
Boletín RIAN La Pampa - San Luis - Agosto 2008- Nro 53,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2008-53
Boletín RIAN La Pampa - San Luis - Diciembre 2007 - Enero 2008- Nro 46,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2007-enero-2008-nro-46
Boletín RIAN La Pampa - San Luis - Enero 2008- Nro 45,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2008-45
