"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"Bug Barbecue",,,,"Online","June 2022",2022,"Event Organization",,"Organizer","https://contributor.r-project.org/events/bug-bbq"
"LatinR 2022|  Conferencia Latinoamericana sobre Uso de R en Investigación + Desarrollo",,,,,"October 2022",2022,"Event Organization",,"Organizer","https://latin-r.com/"
"Datos y digitalización del sector agropecuario",,,,,"February 2022",2022,"Video/Podcast",,"Participant","https://youtu.be/JUBySmXqwc4"
"Episodio 27 del podcast AgroVision.",,,,,"June 2021",2021,"Video/Podcast",,"Participant","https://open.spotify.com/episode/7cDJJo6OcAhswDyjE0noYe?si=gS-6jmW2TSGw2tjqcVIW7g"
"useR! 2021 The R Conference",,,,"Online","July 2021",2021,"Event Organization",,"Organizer","https://user2021.r-project.org/"
"LatinR 2021| Conferencia Latinoamericana sobre Uso de R en Investigación + Desarrollo",,,,,"November 2021",2021,"Event Organization",,"Organizer","https://latin-r.com/"
"Introduction to online teaching essentials",,,,"Online","June 2020",2020,"Event Organization",,"Organizer","https://www.metadocencia.org/en/curso/intro-abc-online/"
"Teaching on-line essentials",,,,"Online","October 2020",2020,"Event Organization",,"Organizer","https://www.meetup.com/es/rladies-santa-rosa/events/273506766/"
"Introduction to online teaching essentials",,,,"Online","June 2020",2020,"Event Organization",,"Organizer","https://www.metadocencia.org/en/curso/intro-abc-online/"
"BoF Measure Impact in Educational Events",,,,,"May 2021",2021,"Event Organization",,"Organizer","https://csvconf.com/"
"Cómo hacer una reunión virtual inolvidable (sin morir en el intento)",,,,"Online","July 2020",2020,"Talk",,"Speaker","https://www.meetup.com/es/rladies-santa-rosa/events/271529806/"
"49 Jornadas Argentinas de Informática e Investigación Operativa",,,,,"October 2020",2020,"Event Organization",,"Organizer","https://49jaiio.sadio.org.ar/"
"LatinR -> Conferencia Latinoamerica de R para Investigación y Desarrollo",,,,"Online","October 2020",2020,"Event Organization",,"Organizer","https://github.com/LatinR/presentaciones-LatinR2020"
"RStudio Instructor Certification Webinar",,,,,"June 2020",2020,"Talk",,"Speaker","https://youtu.be/582tMkPvloU"
"Mujeres en STEAM - ¿Quién es Yanina Bellini Saibene?",,,,,"June 2020",2020,"Video/Podcast",,"Participant","https://youtu.be/_SmnmK6DgOg"
"Cadena de datos Episodio 37. Entrevista a Yanina Bellini Saibene",,,,,"February 2021",2021,"Video/Podcast",,"Participant","https://youtu.be/5usE2w2v33E"
