Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
Curso “Turismo y Redes Sociales”. ,Grupos de Cambio Rural sobre Turismo Rural y autoridades provinciales de la Dirección de Turismo de La Pampa.,Santa Rosa- La Pampa,2016,2016,Course,,Teacher,
2da conferencia y coloquio Gestión y uso de grandes datos aplicados al sector agropecuario y al manejo de los recursos naturales,INTA y Universidad Nacional de La Pampa,,Santa Rosa- La Pampa - 3/10/2015,2015,Conference,43,Organizer,
INTA. AgroTICs,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Octubre,2015,Exhibition,,Speaker,
,CONGREMET,Mar del Plata,26 al 29 de Mayo de 2015,2015,Lightning talk,50,Speaker,
9º Simposio Argentino de Informática en el Estado. Expositora.,Rosario- Santa Fe- Argentina.,,2-3 y 4 de Septiembre de 2015,2015,Regular Talk,,Speaker,
GeoINTA: la infraestructura de datos espaciales del INTA,Santa Rosa,,11 y 12 de Diciembre 2015,2015,Regular Talk,67,Speaker,
AGRANDA Primer simposio argentino de grandes datos. Expositora.,Rosario- Santa Fe- Argentina.,,1 y 2 de Septiembre de 2015.,2015,Regular Talk,,Speaker,
Curso “Espacios de colaboración: la nueva Intranet de INTA”,Personal INTA La Pampa,Anguil,16 de septiembre de 2015,2015,Course,,Teacher,
16º Argentine Symposium on Artificial Intelligence. Argentina Expositora.,Rosario- Santa Fe- Argentina.,,31 de agosto de 2015.,2015,Regular Talk,,Speaker,
El valor del acceso al conocimiento digitalizado en la toma de decisiones,Anguil,,19/08/2015,2015,Panel,,Organizer,https://inta.gob.ar/noticias/seminario-interno-el-valor-del-acceso-al-conocimiento-digitalizado-en-la-toma-de-decisiones
Charla “Uso del radar meteorológico y Data Mining para la clasificación de granizo”.,Rosario- Santa Fe,,11 de junio de 2015.,2015,Regular Talk,,Speaker,
1ra conferencia y coloquio Gestión y uso de grandes datos aplicados al sector agropecuario y al manejo de los recursos naturales,INTA y Universidad Nacional de La Pampa,,Santa Rosa- La Pampa - 3/12/2014,2014,Conference,38,Organizer,
INTA. AgroTICs,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Octubre,2014,Exhibition,,Speaker,
,Universidad de Palermo- Buenos Aires- Argentina,,1 al 5 de Septiembre de 2014,2014,Regular Talk,,Speaker,
Las nuevas tecnologías de la información y comunicación (NTICs): un puente para describir nuevos mundos.,Jornada: Editoriales Puertas Abiertas. Vieja Usina,Santa Rosa,16 de junio de 2014.,2014,Invited Talk,,Speaker,
INTA- SIG,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Octubre,2013,Exhibition,,Speaker,
VI Congreso Nacional- III del Mercosur y II Jornada Técnica de Productores sobre Manejo de Pastizales Naturales.2013. La Pampa.,Profesionales,INTA,La Pampa 2013,2013,Conference,,Organizer,
7mo Congreso Argentino de Agroinformática. 42 JAIIO.,Profesionales,INTA-SADIO,Córdoba. 16 al 20 de septiembre de 2013.,2013,Conference,,Organizer,
Área Estratégica Tecnología de la Información,INTA Expone 2013,Patagonia Sur-Trelew (Chubut),4 al 6 de Octubre de 2013,2013,Exhibition,,Organizer,
Identificación de sistemas productivos preponderantes en una zona de la provincia de la pampa utilizando técnicas de datamining,Congreso Argentino de Agroinformática. 42 JAIIO,Córdoba,16 al 20 de Septiembre de 2013,2013,Regular Talk,20,Speaker,
Funcionamiento del RADAR Meteorológico de la EEA Anguil.,Alumnos del colegio Secundario Liceo Informático II en visita a la EEA Anguil.,EEA Anguil,octubre de 2013.,2013,Regular Talk,18,Speaker,
El uso de AgroTICs para generar las cartas agroclimáticas de la provincia de La Pampa,Congreso Argentino de Agroinformática. 40 JAIIO,,29 de Agosto al 2 de Septiembre de 2011,2011,Regular Talk,,Speaker,
Manuales de campo de la RIAN para dispositivos móviles,Congreso Argentino de Agroinformática. 40 JAIIO,,29 de Agosto al 2 de Septiembre de 2011,2011,Regular Talk,,Speaker,
Data Mining: el que busca encuentra,INTA Expone 2011 Región Pampeana,,01/12/2011,2011,Podcast,,Speaker,https://inta.gob.ar/videos/data-mining-el-que-busca-encuentra
Red de Información Agropecuaria Nacional,,Expo Ternero 2011,octubre 2011,2011,Invited Talk,,Speaker,
Equipos interdisciplinarios en Agroinformática,Panel Sistemas de gestión y control,Congreso de AgroInformática 2011,agosto 2011,2011,Invited Talk,,Speaker,https://inta.gob.ar/documentos/equipos-interdisciplinarios-en-agroinformatica
Área Estratégica Tecnología de la Información,INTA Expone 2011,Marcos Juárez (Córdoba),abril 2011,2011,Exhibition,,Organizer,
Información para la gestión del sistema de transferencia y extensión del INTA,39 JAIIO- Simposio de Informática en el Estado,,30 de Agosto al 3 de Septiembre de 2010,2010,Regular Talk,,Speaker,
Alarmas Agropecuarias a Teléfonos Celulares,39 JAIIO- Simposio de Informática en el Estado,,30 de Agosto al 3 de Septiembre de 2010,2010,Regular Talk,,Speaker,
Sistema de Información “Informe de Estado Hídrico de Suelos”,39 JAIIO- Congreso Argentino de Agro informática,,30 de Agosto al 3 de Septiembre de 2010,2010,Regular Talk,,Speaker,
“INTRANET: herramientas de comunicación interna y gestión,Personal INTA La Pampa,EEA Anguil,28 de Abritl de 2010,2010,Course,,Teacher,
"RIAN, una red que nos puede contener a todos",Jornada de trabajo de asistentes de planificación institucional,EEA INTA Anguil,noviembre 2010,2010,Regular Talk,32,Speaker,
Usos del RADAR Meteorológico en agricultura,Jornadas de Pronósticos Meteorológicos: conocimiento- usos y aprovechamiento.,Macachín,02/06/2010,2010,Invited Talk,,Speaker,
“INTRANET: herramientas de comunicación interna y gestión,Personal INTA San Luis,EEA Villa Mercedes,21 de abril de 2010,2010,Course,,Teacher,
La importancia de cuantificar el recurso climático y el uso de los datos,conferencia pública por el día nacional del agua organizada por la Secretaría de Recursos Hídricos de La Pampa,Santa Rosa,31/03/2010,2010,Invited Talk,35,Speaker,
Atlas Argentino de Fitopatología,I Congreso Argentino de AgroInformática. Mar del Plata,,24 al 28 de Agosto de 2009,2009,Regular Talk,,Speaker,
Taller Nacional “Capacitación del Atlas Fitopatológico Argentino”.,Participantes del Atlas,Córdoba,18 y 19 de Noviembre de 2009.,2009,Course,47,Teacher,
El RADAR Meterológico de la EEA Anguil,Jornadas de actualización para profesionales sobre conservación de suelos.,EEA Anguil,01/12/2009,2009,Invited Talk,27,Speaker,
“Jornada de Capacitación sobre Búsqueda en Google”,Personal de INTA,INTA Central (Buenos Aires),9 de octubre de 2009,2009,Course,35,Teacher,
Bases para la implementación de un Sistema de Información Agropecuaria en Red,Profesionales Venezolanos,La Pampa,junio de 2009,2009,Course,21,Teacher,
,Jornada sobre Cambio Climático y Producción Agropecuaria. ,,27 de marzo de 2009.,2009,Invited Talk,,Speaker,
Sistemas de información y base de datos de uso agropecuario,Venezuela,Caracas,2009,2009,Course,70,Teacher,
Sistemas RIAN,- Jornadas de Informática Industrial – Agroinformática. Santa Fé.,,8 al 12 de septiembre de 2008,2008,Regular Talk,,Speaker,
“Introducción a Internet y Word”,Personal de INTA,EEA Anguil,19 y 20 de Noviembre de 2008,2008,Course,53,Teacher,
VII Congreso Nacional de Trigo. V Simposio Nacional de Cereales de Siembra de Otoño-Invernal. I encuentro del Mercosur. 2007-2008,Profesionales,INTA La Pampa- Facultad de Agronomía de la Universidad Nacional de La Pampa.,,2008,Conference,,Organizer,
Las tecnologías de la información en la EEA INTA Anguil,Quinta semana de la ciencia y la tecnología,Liceo Informático II. Santa Rosa,8 al 15 de junio de 2007,2007,Invited Talk,,Speaker,
Hacia la nueva conectividad del INTA,Jornada Nacionla INTA,Buenos Aires,27 y 28 de Noviembre de 2007,2007,Regular Talk,,Speaker,
Bases para la implementación de un Sistema de Información Agropecuaria en Red,Profesionales Venezolanos,La Pampa,octubre de 2007,2007,Course,26,Teacher,
Caracterización tecnológica del cultivo de Girasol,IV Congreso Argentino de Girasol. ASAGIR,,mayo 2007,2007,Invited Talk,,Speaker,
Área Estratégica Tecnología de la Información,INTA Expone 2006,General Roca (Río Negro),10- 11 y 12 de Noviembre 2006,2006,Exhibition,,Organizer,
Operación del sistema de carga y consulta de Agroprecipitaciones Web del proyecto RIAP,Profesionales de INTA,EEA Anguil,6 y 7 de Septiembre de 2005,2005,Course,7,Teacher,
,IX Congreso Argentino de Meteorología. Congremet IX,Buenos Aires- Argentina,3 al 7 de octubre de 2005,2005,Lightning talk,48,Speaker,
Sistema de Carga y Consulta Informe Agronómico Mensual,Profesionales de INTA,EEA Anguil,2 y 3 de Noviembre de 2005,2005,Course,18,Teacher,
,IV Ronda de trigo 2004,Este de La Pampa-Suroeste de Buenos Aires,29 de Noviembre al 3 de Diciembre del 2004,2004,Exhibition,,Organizer,
